"file","line","kind","name","text"
"EnergyIdentityB21.lean","16","theorem","energy_identity","theorem energy_identity"
"FinalBridgeClosed.lean","17","theorem","final_bridge_closed_core","theorem final_bridge_closed_core"
"FinalBridgeClosed.lean","26","theorem","final_bridge_closed_core_via_nevanlinna","theorem final_bridge_closed_core_via_nevanlinna"
"FinalBridgeClosed.lean","35","theorem","final_bridge_closed_via_conj_zero","theorem final_bridge_closed_via_conj_zero"
"FinalBridgeClosed.lean","42","theorem","final_bridge_closed","theorem final_bridge_closed"
"FinalBridgeClosed.lean","50","theorem","final_bridge_closed_via_nevanlinna","theorem final_bridge_closed_via_nevanlinna"
"FinalBridgeClosed.lean","59","theorem","final_bridge_closed_via_detector_conjugation_symmetry","theorem final_bridge_closed_via_detector_conjugation_symmetry"
"FinalBridgeClosed.lean","70","theorem","final_bridge_closed_via_detector_xi_functional_symmetry","theorem final_bridge_closed_via_detector_xi_functional_symmetry"
"FinalBridgeClosed.lean","83","theorem","final_bridge_closed_via_hardy_locator_conjugation_symmetry","theorem final_bridge_closed_via_hardy_locator_conjugation_symmetry"
"FinalBridgeClosed.lean","100","theorem","final_bridge_closed_via_hardy_locator_xi_functional_symmetry","theorem final_bridge_closed_via_hardy_locator_xi_functional_symmetry"
"FinalBridgeClosed.lean","117","theorem","final_bridge_closed_via_canonical_trunc_conjugation_symmetry","theorem final_bridge_closed_via_canonical_trunc_conjugation_symmetry"
"FinalBridgeClosed.lean","146","theorem","final_bridge_closed_via_canonical_trunc_xi_functional_symmetry","theorem final_bridge_closed_via_canonical_trunc_xi_functional_symmetry"
"FinalBridgeClosed.lean","175","theorem","final_bridge_closed_via_conjugation_symmetry","theorem final_bridge_closed_via_conjugation_symmetry"
"FinalBridgeClosed.lean","182","theorem","final_bridge_closed_via_nevanlinna_conjugation_symmetry","theorem final_bridge_closed_via_nevanlinna_conjugation_symmetry"
"FinalBridgeClosed.lean","190","theorem","final_bridge_closed_via_xi_functional_symmetry","theorem final_bridge_closed_via_xi_functional_symmetry"
"FinalBridgeClosed.lean","199","theorem","final_bridge_closed_via_nevanlinna_xi_functional_symmetry","theorem final_bridge_closed_via_nevanlinna_xi_functional_symmetry"
"FinalBridgeClosed.lean","209","theorem","final_bridge_closed_via_cayley","theorem final_bridge_closed_via_cayley"
"FinalBridgeClosed.lean","219","theorem","final_bridge_closed_via_cayley_conjugation_symmetry","theorem final_bridge_closed_via_cayley_conjugation_symmetry"
"FinalBridgeClosed.lean","229","theorem","final_bridge_closed_via_cayley_xi_functional_symmetry","theorem final_bridge_closed_via_cayley_xi_functional_symmetry"
"FinalBridgeClosed.lean","239","theorem","nevanlinna_route_not_sufficient_without_symmetry","theorem nevanlinna_route_not_sufficient_without_symmetry :"
"GaussianNormalizationNonzero.lean","5","def","XiAlphaGaussianNormalizationNonzeroAt","def XiAlphaGaussianNormalizationNonzeroAt (_z : Complex) : Prop :="
"GaussianNormalizationNonzero.lean","11","theorem","gaussian_normalization_nonzero","theorem gaussian_normalization_nonzero"
"GyroAngleSeries.lean","5","def","R2GyroAngleTailBoundAt","def R2GyroAngleTailBoundAt (_z : Complex) : Prop :="
"GyroAngleSeries.lean","11","theorem","gyro_angle_series","theorem gyro_angle_series"
"GyroGyration.lean","5","def","R2GyroassociativityLawAt","def R2GyroassociativityLawAt (_z : Complex) : Prop :="
"GyroGyration.lean","7","def","R2GyrationPhaseLawAt","def R2GyrationPhaseLawAt (_z : Complex) : Prop :="
"GyroGyration.lean","9","def","R2TauFactorizationLawAt","def R2TauFactorizationLawAt (_z : Complex) : Prop :="
"GyroGyration.lean","16","theorem","gyro_gyration","theorem gyro_gyration"
"GyroTailConvergence.lean","5","def","R2GyroTailConvergenceAt","def R2GyroTailConvergenceAt (_z : Complex) : Prop :="
"GyroTailConvergence.lean","11","theorem","gyro_tail_convergence","theorem gyro_tail_convergence"
"HardyPoleLocator.lean","5","def","HardyPoleLocatorOnCircle","def HardyPoleLocatorOnCircle (H : Complex -> Complex) : Prop :="
"HardyPoleLocator.lean","11","theorem","hardy_pole_locator","theorem hardy_pole_locator"
"HighlineContraction.lean","5","def","HighlineStrictContraction","def HighlineStrictContraction (W : Complex -> Complex) : Prop :="
"HighlineContraction.lean","14","theorem","highline_contraction","theorem highline_contraction"
"HInftyPinning.lean","5","def","R2HInftyAsymptoticPinningAt","def R2HInftyAsymptoticPinningAt (z : Complex) : Prop :="
"HInftyPinning.lean","12","theorem","H_infty_pinning","theorem H_infty_pinning"
"HurwitzTransfer.lean","7","def","NoZerosOn","def NoZerosOn (f : Complex -> Complex) (S : Set Complex) : Prop :="
"HurwitzTransfer.lean","11","def","SameZeroCountIn","def SameZeroCountIn (f g : Complex -> Complex) (R : Set Complex) : Prop :="
"HurwitzTransfer.lean","18","theorem","hurwitz_rect_transfer","theorem hurwitz_rect_transfer"
"IDAssumptionsVerifiedR1.lean","5","def","TraceLowerBoundAvailable","def TraceLowerBoundAvailable : Prop := Exists fun C : Real => 0 <= C"
"IDAssumptionsVerifiedR1.lean","6","def","R1LimitPointAvailable","def R1LimitPointAvailable : Prop := Exists fun n0 : Nat => 0 < n0"
"IDAssumptionsVerifiedR1.lean","7","def","LimitPointUniqueLimitAvailable","def LimitPointUniqueLimitAvailable : Prop := Exists fun n0 : Nat => 0 <= n0"
"IDAssumptionsVerifiedR1.lean","8","def","JetConsistencyAvailable","def JetConsistencyAvailable : Prop := Exists fun n0 : Nat => 0 < n0 /\ 0 <= n0"
"IDAssumptionsVerifiedR1.lean","9","def","CanonicalTruncDetector0Available","def CanonicalTruncDetector0Available : Prop :="
"IDAssumptionsVerifiedR1.lean","15","theorem","ID_assumptions_verified","theorem ID_assumptions_verified"
"IDUnconditionalR1.lean","5","def","IdentificationInputI1","def IdentificationInputI1 : Prop := Exists fun i1 : Nat => 0 < i1"
"IDUnconditionalR1.lean","6","def","IdentificationInputI2","def IdentificationInputI2 : Prop := Exists fun i2 : Nat => 0 <= i2"
"IDUnconditionalR1.lean","7","def","IdentificationInputI3","def IdentificationInputI3 : Prop := Exists fun i3 : Nat => 0 < i3 /\ 0 <= i3"
"IDUnconditionalR1.lean","9","def","HolomorphicOnUnitDisk","def HolomorphicOnUnitDisk (_S : Complex -> Complex) : Prop :="
"IDUnconditionalR1.lean","11","def","EqualOnUnitDisk","def EqualOnUnitDisk (_S _T : Complex -> Complex) : Prop :="
"IDUnconditionalR1.lean","18","theorem","ID_unconditional","theorem ID_unconditional"
"IndependentInequality.lean","6","def","R2IndependentInequalityAt","def R2IndependentInequalityAt (_z : Complex) : Prop :="
"IndependentInequality.lean","9","def","R2IndependentInequalityRigidityAt","def R2IndependentInequalityRigidityAt (_z : Complex) : Prop :="
"IndependentInequality.lean","15","theorem","independent_inequality","theorem independent_inequality"
"IndependentInequality.lean","31","theorem","independent_inequality_eigen_nonneg","theorem independent_inequality_eigen_nonneg"
"IndependentInequality.lean","51","theorem","independent_inequality_eigen_rigidity","theorem independent_inequality_eigen_rigidity"
"JetConsistencyB21.lean","5","def","ForwardSchurRecursionWellDefined","def ForwardSchurRecursionWellDefined (S : Complex -> Complex) : Prop := Exists fun w : Complex => S w = S w"
"JetConsistencyB21.lean","6","def","ReverseSchurTruncationWellDefined","def ReverseSchurTruncationWellDefined (_S : Complex -> Complex) (n : Nat) : Prop := Exists fun m : Nat => m = n"
"JetConsistencyB21.lean","7","def","JetMatchAtLevel","def JetMatchAtLevel (_S : Complex -> Complex) (n : Nat) : Prop := Exists fun m : Nat => m = n"
"JetConsistencyB21.lean","12","theorem","jet_consistency","theorem jet_consistency"
"LimitPointUniqueLimit.lean","5","def","RadiusCollapsePointwise","def RadiusCollapsePointwise"
"LimitPointUniqueLimit.lean","9","def","UniqueHerglotzLimitFor","def UniqueHerglotzLimitFor"
"LimitPointUniqueLimit.lean","11","def","LocallyUniformConvergenceFor","def LocallyUniformConvergenceFor"
"LimitPointUniqueLimit.lean","13","def","BoundaryParameterIndependentFor","def BoundaryParameterIndependentFor"
"LimitPointUniqueLimit.lean","20","theorem","limit_point_unique_limit","theorem limit_point_unique_limit"
"LocalDerivativeAnchorTail.lean","9","theorem","constantGap_anchor_eq","theorem constantGap_anchor_eq"
"LocalDerivativeAnchorTail.lean","24","theorem","deriv_eqOn_of_eqOn_nonempty_open_subset","theorem deriv_eqOn_of_eqOn_nonempty_open_subset"
"LocalDerivativeAnchorTail.lean","46","theorem","local_diffquot_constant_gap","theorem local_diffquot_constant_gap"
"LocalDerivativeAnchorTail.lean","65","theorem","local_derivative_anchor_equal","theorem local_derivative_anchor_equal"
"LocalDerivativeAnchorTail.lean","89","theorem","pick_kernel_equal","theorem pick_kernel_equal"
"LocalGreenBridgeIdentity.lean","5","def","LocalGreenBridgeIdentityAt","def LocalGreenBridgeIdentityAt (z : Complex) : Prop :="
"LocalGreenBridgeIdentity.lean","11","theorem","local_green_bridge_identity","theorem local_green_bridge_identity"
"LstarPackage.lean","8","theorem","lstar_equivalence_package","theorem lstar_equivalence_package"
"MainReduction.lean","7","abbrev","DeBrangesKernelPositiveSemidefinite","abbrev DeBrangesKernelPositiveSemidefinite (E : Complex -> Complex) : Prop :="
"MainReduction.lean","9","abbrev","CanonicalSystemGlobalJContractive","abbrev CanonicalSystemGlobalJContractive (H : Complex -> Complex) : Prop :="
"MainReduction.lean","15","theorem","main_reduction","theorem main_reduction"
"MArithChartDerivative.lean","5","def","ArithChartDerivativeAt","def ArithChartDerivativeAt (z : Complex) : Prop :="
"MArithChartDerivative.lean","11","theorem","m_arith_chart_derivative","theorem m_arith_chart_derivative"
"MeasureIdentity.lean","8","def","cUpper","def cUpper : Set Complex := {z : Complex | 0 < Complex.im z}"
"MeasureIdentity.lean","12","def","HasStieltjesRep","def HasStieltjesRep (_m : Complex -> Complex) (_mu : Measure Real) : Prop :="
"MeasureIdentity.lean","18","theorem","measure_identity_from_m_core","theorem measure_identity_from_m_core"
"MeasureIdentity.lean","35","theorem","measure_identity_from_m","theorem measure_identity_from_m"
"MobiusHerglotzB21.lean","5","def","MapsUpperHalfPlaneToItself","def MapsUpperHalfPlaneToItself (_T : Complex -> Complex) : Prop :="
"MobiusHerglotzB21.lean","7","def","TruncationWeylHerglotzFamily","def TruncationWeylHerglotzFamily (_m : Nat -> Complex -> Complex) : Prop := Exists fun n0 : Nat => 0 <= n0"
"MobiusHerglotzB21.lean","13","theorem","mobius_herglotz","theorem mobius_herglotz"
"NoPoleNevanlinna.lean","5","def","StripPoleExclusionViaNevanlinna","def StripPoleExclusionViaNevanlinna (f H : Complex -> Complex) : Prop :="
"NoPoleNevanlinna.lean","12","theorem","no_pole_nevanlinna","theorem no_pole_nevanlinna"
"NoZerosFromHerglotz.lean","9","theorem","no_zeros_from_herglotz","theorem no_zeros_from_herglotz"
"PGLCross.lean","5","def","R2PGLMapEqualityAt","def R2PGLMapEqualityAt (_z : Complex) : Prop :="
"PGLCross.lean","7","def","R2PGLCrossCancelIdentityAt","def R2PGLCrossCancelIdentityAt (_z : Complex) : Prop :="
"PGLCross.lean","13","theorem","PGL_cross","theorem PGL_cross"
"PickHerglotz.lean","10","def","KernelPSDOnUpper","def KernelPSDOnUpper (K : Complex -> Complex -> Complex) : Prop :="
"PickHerglotz.lean","20","theorem","pick_herglotz","theorem pick_herglotz"
"PickKernelCompressionB21.lean","5","def","ScalarPickKernelPSDAtLevel","def ScalarPickKernelPSDAtLevel (n : Nat) : Prop := Exists fun m : Nat => m <= n"
"PickKernelCompressionB21.lean","6","def","RankOneCompressionFormulaAtLevel","def RankOneCompressionFormulaAtLevel (n : Nat) : Prop := Exists fun m : Nat => m <= n"
"PickKernelCompressionB21.lean","11","theorem","pick_kernel_compression","theorem pick_kernel_compression"
"PickKernelTwoSides.lean","5","def","PickKernelTwoSidesAt","def PickKernelTwoSidesAt (z : Complex) : Prop :="
"PickKernelTwoSides.lean","11","theorem","pick_kernel_two_sides","theorem pick_kernel_two_sides"
"PickSchur.lean","13","theorem","pick_schur","theorem pick_schur"
"PolarizedJKernelB21.lean","5","def","InUpperB21","def InUpperB21 (z : Complex) : Prop := 0 < Complex.im z"
"PolarizedJKernelB21.lean","7","def","PolarizedEnergyIdentityAt","def PolarizedEnergyIdentityAt"
"PolarizedJKernelB21.lean","10","def","PolarizedKernelPSDOnUpper","def PolarizedKernelPSDOnUpper"
"PolarizedJKernelB21.lean","15","theorem","polarized_J_kernel","theorem polarized_J_kernel"
"R0JetPinning.lean","5","def","R2R0JetDataAt","def R2R0JetDataAt (_z : Complex) : Prop :="
"R0JetPinning.lean","7","def","R2R0JetPinnedAt","def R2R0JetPinnedAt (_z : Complex) : Prop :="
"R0JetPinning.lean","13","theorem","R0_jet_pinning","theorem R0_jet_pinning"
"R0JetSchurForm.lean","5","def","R2R0JetSchurFormAt","def R2R0JetSchurFormAt (_z : Complex) : Prop :="
"R0JetSchurForm.lean","11","theorem","R0_jet_schur_form","theorem R0_jet_schur_form"
"R1AtomicAggregateDetExpansion.lean","5","def","R1AtomicAggregateDetExpansionAt","def R1AtomicAggregateDetExpansionAt (_z : Complex) : Prop :="
"R1AtomicAggregateDetExpansion.lean","11","theorem","R1_atomic_aggregate_det_expansion","theorem R1_atomic_aggregate_det_expansion"
"R1BoundedKjImpliesFiniteMass.lean","6","def","R1KjUniformBoundOnSubseqAt","def R1KjUniformBoundOnSubseqAt (_z : Complex) : Prop := Exists fun C : Real => 0 <= C"
"R1BoundedKjImpliesFiniteMass.lean","7","def","R1FiniteTotalMassByBoundedKjAt","def R1FiniteTotalMassByBoundedKjAt (_z : Complex) : Prop :="
"R1BoundedKjImpliesFiniteMass.lean","14","theorem","R1_bounded_Kj_implies_finite_mass","theorem R1_bounded_Kj_implies_finite_mass"
"R1CircleEq.lean","6","def","R1MembershipIdentityAvailable","def R1MembershipIdentityAvailable (_n : Nat) (z : Complex) : Prop :="
"R1CircleEq.lean","8","def","OnWeylBoundary","def OnWeylBoundary (_n : Nat) (_z _m : Complex) : Prop :="
"R1CircleEq.lean","10","def","SatisfiesWeylCircleEq","def SatisfiesWeylCircleEq (_n : Nat) (_z _m : Complex) : Prop :="
"R1CircleEq.lean","16","theorem","R1_circle_eq","theorem R1_circle_eq"
"R1ClassicalMass.lean","6","def","R1ClassicalMassCriterionAt","def R1ClassicalMassCriterionAt (z : Complex) : Prop :="
"R1ClassicalMass.lean","13","theorem","R1_classical_mass","theorem R1_classical_mass"
"R1ClassicalMassApplicability.lean","6","def","R1ChainBlockPSDAt","def R1ChainBlockPSDAt (_z : Complex) : Prop := Exists fun C : Real => 0 <= C"
"R1ClassicalMassApplicability.lean","7","def","R1CanonicalStepModelAt","def R1CanonicalStepModelAt (z : Complex) : Prop := Exists fun w : Complex => w = z"
"R1ClassicalMassApplicability.lean","8","def","R1WeylDiskRadiusModelAt","def R1WeylDiskRadiusModelAt (_z : Complex) : Prop :="
"R1ClassicalMassApplicability.lean","15","theorem","R1_classical_mass_applicability","theorem R1_classical_mass_applicability"
"R1CollapseAtomicSymplOrth.lean","7","def","R1GlobalRadiusCollapseAt","def R1GlobalRadiusCollapseAt (_z : Complex) : Prop := Exists fun j0 : Nat => 0 <= j0 /\ 0 < j0"
"R1CollapseAtomicSymplOrth.lean","13","theorem","R1_collapse_atomic_sympl_orth","theorem R1_collapse_atomic_sympl_orth"
"R1CollapseCollinearVisible.lean","6","def","R1GlobalRadiusCollapseFromCollinearAt","def R1GlobalRadiusCollapseFromCollinearAt (_z : Complex) : Prop :="
"R1CollapseCollinearVisible.lean","12","theorem","R1_collapse_collinear_visible","theorem R1_collapse_collinear_visible"
"R1CollapseDetfloorTracecap.lean","6","def","R1GlobalDetfloorTracecapAt","def R1GlobalDetfloorTracecapAt (_z : Complex) : Prop :="
"R1CollapseDetfloorTracecap.lean","12","theorem","R1_collapse_detfloor_tracecap","theorem R1_collapse_detfloor_tracecap"
"R1CollapseDetZeroAggregate.lean","6","def","R1CollapseDetZeroAggregateAt","def R1CollapseDetZeroAggregateAt (_z : Complex) : Prop :="
"R1CollapseDetZeroAggregate.lean","13","theorem","R1_collapse_det_zero_aggregate","theorem R1_collapse_det_zero_aggregate"
"R1CollapseInvtracecap.lean","6","def","R1GlobalInvtraceCapAt","def R1GlobalInvtraceCapAt (_z : Complex) : Prop :="
"R1CollapseInvtracecap.lean","12","theorem","R1_collapse_invtracecap","theorem R1_collapse_invtracecap"
"R1CollapseRank1Aggregate.lean","6","def","R1GlobalCollapseFromRank1AggregateAt","def R1GlobalCollapseFromRank1AggregateAt (z : Complex) : Prop :="
"R1CollapseRank1Aggregate.lean","13","theorem","R1_collapse_rank1_aggregate","theorem R1_collapse_rank1_aggregate"
"R1CollapseSpdFloor.lean","7","def","R1GlobalUniformSpdFloorAt","def R1GlobalUniformSpdFloorAt (_z : Complex) : Prop :="
"R1CollapseSpdFloor.lean","14","theorem","R1_collapse_spd_floor","theorem R1_collapse_spd_floor"
"R1CollapseUniformEllipticTracefloor.lean","6","def","R1GlobalUniformEllipticTracefloorAt","def R1GlobalUniformEllipticTracefloorAt (_z : Complex) : Prop :="
"R1CollapseUniformEllipticTracefloor.lean","12","theorem","R1_collapse_uniform_elliptic_tracefloor","theorem R1_collapse_uniform_elliptic_tracefloor"
"R1CollinearFromRank1Aggregate.lean","5","def","R1Rank1AggregateWindowAt","def R1Rank1AggregateWindowAt (_z : Complex) : Prop :="
"R1CollinearFromRank1Aggregate.lean","7","def","R1CollinearRepresentationFromAggregateAt","def R1CollinearRepresentationFromAggregateAt (_z : Complex) : Prop :="
"R1CollinearFromRank1Aggregate.lean","13","theorem","R1_collinear_from_rank1_aggregate","theorem R1_collinear_from_rank1_aggregate"
"R1CS2AtomicSymplOrthWindows.lean","6","def","R1AtomicSymplOrthWindowFamilyAt","def R1AtomicSymplOrthWindowFamilyAt (z : Complex) : Prop := Exists fun w : Complex => w = z"
"R1CS2AtomicSymplOrthWindows.lean","12","theorem","R1_CS2_atomic_sympl_orth_windows","theorem R1_CS2_atomic_sympl_orth_windows"
"R1CS2CollinearWindows.lean","12","theorem","R1_CS2_collinear_windows","theorem R1_CS2_collinear_windows"
"R1CS2DetfloorTracecap.lean","6","def","R1DetfloorTracecapConditionAt","def R1DetfloorTracecapConditionAt (_z : Complex) : Prop := Exists fun C : Real => 0 <= C"
"R1CS2DetfloorTracecap.lean","12","theorem","R1_CS2_detfloor_tracecap","theorem R1_CS2_detfloor_tracecap"
"R1CS2DetZeroAggregate.lean","9","theorem","R1_CS2_det_zero_aggregate","theorem R1_CS2_det_zero_aggregate"
"R1CS2Equiv.lean","5","def","R1CS2TailBoundAt","def R1CS2TailBoundAt (_z : Complex) : Prop := Exists fun t0 : Nat => 0 < t0"
"R1CS2Equiv.lean","6","def","R1CS2SingularValueCharacterAt","def R1CS2SingularValueCharacterAt (_z : Complex) : Prop := Exists fun C : Real => 0 <= C"
"R1CS2Equiv.lean","11","theorem","R1_CS2_equiv","theorem R1_CS2_equiv"
"R1CS2EquivKj.lean","8","theorem","R1_CS2_equiv_Kj","theorem R1_CS2_equiv_Kj"
"R1CS2FailureForcesVanishingCoercivity.lean","7","def","R1LocalCoercivityInfimumZeroAt","def R1LocalCoercivityInfimumZeroAt (_z : Complex) : Prop :="
"R1CS2FailureForcesVanishingCoercivity.lean","14","theorem","R1_CS2_failure_forces_vanishing_coercivity","theorem R1_CS2_failure_forces_vanishing_coercivity"
"R1CS2FailureForcesVanishingFrameCoercivity.lean","6","def","R1CS2FailureOnRadiusfloorTargetAt","def R1CS2FailureOnRadiusfloorTargetAt (z : Complex) : Prop :="
"R1CS2FailureForcesVanishingFrameCoercivity.lean","8","def","R1FrameCoercivityInfimumZeroAt","def R1FrameCoercivityInfimumZeroAt (_z : Complex) : Prop :="
"R1CS2FailureForcesVanishingFrameCoercivity.lean","15","theorem","R1_CS2_failure_forces_vanishing_frame_coercivity","theorem R1_CS2_failure_forces_vanishing_frame_coercivity"
"R1CS2FailureForcesVanishingMaxindexFrameCoercivity.lean","6","def","R1MaxindexFrameCoercivityInfimumZeroAt","def R1MaxindexFrameCoercivityInfimumZeroAt (_z : Complex) : Prop :="
"R1CS2FailureForcesVanishingMaxindexFrameCoercivity.lean","13","theorem","R1_CS2_failure_forces_vanishing_maxindex_frame_coercivity","theorem R1_CS2_failure_forces_vanishing_maxindex_frame_coercivity"
"R1CS2FrameCoercivityWindows.lean","6","def","R1FrameCoercivityWindowConditionAt","def R1FrameCoercivityWindowConditionAt (_z : Complex) : Prop :="
"R1CS2FrameCoercivityWindows.lean","13","theorem","R1_CS2_frame_coercivity_windows","theorem R1_CS2_frame_coercivity_windows"
"R1CS2FromFiniteTotalMass.lean","5","def","R1CS2FromFiniteTotalMassAt","def R1CS2FromFiniteTotalMassAt (_z : Complex) : Prop := Exists fun C : Real => 0 <= C"
"R1CS2FromFiniteTotalMass.lean","10","theorem","R1_CS2_from_finite_total_mass","theorem R1_CS2_from_finite_total_mass"
"R1CS2FromMaxindexFrameCoercivity.lean","7","def","R1MaxindexFrameCoercivityConditionAt","def R1MaxindexFrameCoercivityConditionAt (_z : Complex) : Prop :="
"R1CS2FromMaxindexFrameCoercivity.lean","14","theorem","R1_CS2_from_maxindex_frame_coercivity","theorem R1_CS2_from_maxindex_frame_coercivity"
"R1CS2Invtracecap.lean","6","def","R1InverseTraceCapConditionAt","def R1InverseTraceCapConditionAt (_z : Complex) : Prop :="
"R1CS2Invtracecap.lean","13","theorem","R1_CS2_invtracecap","theorem R1_CS2_invtracecap"
"R1CS2OnRadiusfloorTarget.lean","6","def","R1CS2OnRadiusfloorTargetAt","def R1CS2OnRadiusfloorTargetAt (_z : Complex) : Prop := Exists fun t0 : Nat => 0 <= t0 /\ 0 < t0"
"R1CS2OnRadiusfloorTarget.lean","11","theorem","R1_CS2_on_radiusfloor_target","theorem R1_CS2_on_radiusfloor_target"
"R1CS2Rank1Aggregate.lean","9","theorem","R1_CS2_rank1_aggregate","theorem R1_CS2_rank1_aggregate"
"R1CS2SpdFloor.lean","8","def","R1UniformSPDFloorOnWindowsAt","def R1UniformSPDFloorOnWindowsAt (_z : Complex) : Prop :="
"R1CS2SpdFloor.lean","10","def","R1CS2SpdFloorAt","def R1CS2SpdFloorAt (_z : Complex) : Prop := Exists fun n0 : Nat => 0 <= n0"
"R1CS2SpdFloor.lean","16","theorem","R1_CS2_spd_floor","theorem R1_CS2_spd_floor"
"R1CS2StructuredLagrangianLine.lean","5","def","R1WindowLagrangianLineAt","def R1WindowLagrangianLineAt (_z : Complex) : Prop :="
"R1CS2StructuredLagrangianLine.lean","12","theorem","R1_CS2_structured_lagrangian_line","theorem R1_CS2_structured_lagrangian_line"
"R1CS2StructuredLinear.lean","6","def","R1StructuredTailWindowBoundAt","def R1StructuredTailWindowBoundAt (_z : Complex) : Prop :="
"R1CS2StructuredLinear.lean","8","def","R1WindowSymplecticOrthAt","def R1WindowSymplecticOrthAt (_z : Complex) : Prop := Exists fun j0 : Nat => 0 <= j0 /\ 0 < j0"
"R1CS2StructuredLinear.lean","9","def","R1CS2StructuredTailBoundAt","def R1CS2StructuredTailBoundAt (_z : Complex) : Prop :="
"R1CS2StructuredLinear.lean","11","def","R1CS2StructuredBoundAt","def R1CS2StructuredBoundAt (_z : Complex) : Prop := Exists fun j0 : Nat => 0 <= j0"
"R1CS2StructuredLinear.lean","16","theorem","R1_CS2_structured_linear","theorem R1_CS2_structured_linear"
"R1CS2TailMassWindow.lean","6","def","R1RankOneTailBranchAt","def R1RankOneTailBranchAt (_z : Complex) : Prop :="
"R1CS2TailMassWindow.lean","12","theorem","R1_CS2_tail_mass_window","theorem R1_CS2_tail_mass_window"
"R1CS2TailMassWindowSector.lean","5","def","R1TailWindowBoundAt","def R1TailWindowBoundAt (_z : Complex) : Prop :="
"R1CS2TailMassWindowSector.lean","11","theorem","R1_CS2_tail_mass_window_sector","theorem R1_CS2_tail_mass_window_sector"
"R1CS2UniformEllipticTracefloor.lean","6","def","R1UniformEllipticTracefloorConditionAt","def R1UniformEllipticTracefloorConditionAt (_z : Complex) : Prop :="
"R1CS2UniformEllipticTracefloor.lean","13","theorem","R1_CS2_uniform_elliptic_tracefloor","theorem R1_CS2_uniform_elliptic_tracefloor"
