"file","line","kind","name","signature"
"LimitPointUniqueLimit.lean","20","theorem","limit_point_unique_limit","theorem limit_point_unique_limit {m : Nat -> Complex -> Complex} (hFam : TruncationWeylHerglotzFamily m) (hRadiusCollapse : RadiusCollapsePointwise m) (hUniqueBridge : TruncationWeylHerglotzFamily m -> RadiusCollapsePointwise m -> UniqueHerglotzLimitFor m) (hLocalUniformBridge : TruncationWeylHerglotzFamily m -> UniqueHerglotzLimitFor m -> LocallyUniformConvergenceFor m) (hBoundaryBridge : RadiusCollapsePointwise m -> UniqueHerglotzLimitFor m -> BoundaryParameterIndependentFor m) : UniqueHerglotzLimitFor m /\ LocallyUniformConvergenceFor m /\ BoundaryParameterIndependentFor m := by"
"LocalDerivativeAnchorTail.lean","9","theorem","constantGap_anchor_eq","theorem constantGap_anchor_eq {D : Type*} {m1 m2 : D -> Real} (hconst : exists c : Real, forall z : D, m1 z - m2 z = c) (z0 : D) (h0 : m1 z0 = m2 z0) : forall z : D, m1 z = m2 z := by"
"LocalDerivativeAnchorTail.lean","24","theorem","deriv_eqOn_of_eqOn_nonempty_open_subset","theorem deriv_eqOn_of_eqOn_nonempty_open_subset {s u : Set Complex} (hs : IsOpen s) (hconn : IsPreconnected s) (hu : IsOpen u) (hu_sub : u ??s) (hu_nonempty : u.Nonempty) {m1 m2 : Complex -> Complex} (hm1 : DifferentiableOn Complex m1 s) (hm2 : DifferentiableOn Complex m2 s) (hderiv_u : u.EqOn (deriv m1) (deriv m2)) : s.EqOn (deriv m1) (deriv m2) := by"
"LocalDerivativeAnchorTail.lean","46","theorem","local_diffquot_constant_gap","theorem local_diffquot_constant_gap {s u : Set Complex} (hs : IsOpen s) (hconn : IsPreconnected s) (hu : IsOpen u) (hu_sub : u ??s) (hu_nonempty : u.Nonempty) {m1 m2 : Complex -> Complex} (hm1 : DifferentiableOn Complex m1 s) (hm2 : DifferentiableOn Complex m2 s) (hderiv_u : u.EqOn (deriv m1) (deriv m2)) : exists c : Complex, s.EqOn (fun z => m1 z - m2 z) (fun _ => c) := by"
"LocalDerivativeAnchorTail.lean","65","theorem","local_derivative_anchor_equal","theorem local_derivative_anchor_equal {s u : Set Complex} (hs : IsOpen s) (hconn : IsPreconnected s) (hu : IsOpen u) (hu_sub : u ??s) (hu_nonempty : u.Nonempty) {m1 m2 : Complex -> Complex} (hm1 : DifferentiableOn Complex m1 s) (hm2 : DifferentiableOn Complex m2 s) (hderiv_u : u.EqOn (deriv m1) (deriv m2)) {z0 : Complex} (hz0u : z0 ??u) (h0 : m1 z0 = m2 z0) : s.EqOn m1 m2 := by"
"LocalDerivativeAnchorTail.lean","89","theorem","pick_kernel_equal","theorem pick_kernel_equal {s u : Set Complex} (hs : IsOpen s) (hconn : IsPreconnected s) (hu : IsOpen u) (hu_sub : u ??s) (hu_nonempty : u.Nonempty) {m1 m2 : Complex -> Complex} (hm1 : DifferentiableOn Complex m1 s) (hm2 : DifferentiableOn Complex m2 s) (hderiv_u : u.EqOn (deriv m1) (deriv m2)) {z0 : Complex} (hz0u : z0 ??u) (h0 : m1 z0 = m2 z0) : s.EqOn m1 m2 ??      (forall z, z ??s -> forall w, w ??s -> z ??w -> (m1 w - m1 z) / (w - z) = (m2 w - m2 z) / (w - z)) := by"
"LocalGreenBridgeIdentity.lean","11","theorem","local_green_bridge_identity","theorem local_green_bridge_identity {z : Complex} (hArithDerivative : ArithChartDerivativeAt z) (hBridge : ArithChartDerivativeAt z -> LocalGreenBridgeIdentityAt z) : LocalGreenBridgeIdentityAt z := by"
"LstarPackage.lean","8","theorem","lstar_equivalence_package","theorem lstar_equivalence_package {H W E : Complex -> Complex} (h1 : HerglotzOnUpperHalfPlane H <-> SchurOnUpperHalfPlane W) (h2 : HerglotzOnUpperHalfPlane H <-> KernelPSDOnUpper (pickKernelH H)) (h3 : SchurOnUpperHalfPlane W <-> KernelPSDOnUpper (pickKernelW W)) (h4 : SchurOnUpperHalfPlane W <-> DeBrangesKernelPSD E) (h5 : SchurOnUpperHalfPlane W <-> WeakHermiteBiehler E) : (HerglotzOnUpperHalfPlane H <-> SchurOnUpperHalfPlane W) /\ (HerglotzOnUpperHalfPlane H <-> KernelPSDOnUpper (pickKernelH H)) /\ (SchurOnUpperHalfPlane W <-> KernelPSDOnUpper (pickKernelW W)) /\ (SchurOnUpperHalfPlane W <-> DeBrangesKernelPSD E) /\ (SchurOnUpperHalfPlane W <-> WeakHermiteBiehler E) := by"
"MainReduction.lean","15","theorem","main_reduction","theorem main_reduction {f H W E : Complex -> Complex} (hAB : RiemannHypothesis f -> HerglotzOnUpperHalfPlane H) (hBA : HerglotzOnUpperHalfPlane H -> RiemannHypothesis f) (hBC : HerglotzOnUpperHalfPlane H -> SchurOnUpperHalfPlane W) (hCB : SchurOnUpperHalfPlane W -> HerglotzOnUpperHalfPlane H) (hBD : HerglotzOnUpperHalfPlane H -> KernelPSDOnUpper (pickKernelH H)) (hDB : KernelPSDOnUpper (pickKernelH H) -> HerglotzOnUpperHalfPlane H) (hCE : SchurOnUpperHalfPlane W -> DeBrangesKernelPositiveSemidefinite E) (hEC : DeBrangesKernelPositiveSemidefinite E -> SchurOnUpperHalfPlane W) (hBF : HerglotzOnUpperHalfPlane H -> CanonicalSystemGlobalJContractive H) (hFB : CanonicalSystemGlobalJContractive H -> HerglotzOnUpperHalfPlane H) : (RiemannHypothesis f <-> HerglotzOnUpperHalfPlane H) /\ (HerglotzOnUpperHalfPlane H <-> SchurOnUpperHalfPlane W) /\ (HerglotzOnUpperHalfPlane H <-> KernelPSDOnUpper (pickKernelH H)) /\ (SchurOnUpperHalfPlane W <-> DeBrangesKernelPositiveSemidefinite E) /\ (HerglotzOnUpperHalfPlane H <-> CanonicalSystemGlobalJContractive H) := by"
"MArithChartDerivative.lean","11","theorem","m_arith_chart_derivative","theorem m_arith_chart_derivative {z : Complex} (hArithModel : ArithStieltjesModelAt z) (hBridge : ArithStieltjesModelAt z -> ArithChartDerivativeAt z) : ArithChartDerivativeAt z := by"
"MeasureIdentity.lean","18","theorem","measure_identity_from_m_core","theorem measure_identity_from_m_core {mWeyl mArith : Complex -> Complex} {muWeyl muArith : Measure Real} (hmEq : cUpper.EqOn mWeyl mArith) (hRepWeyl : HasStieltjesRep mWeyl muWeyl) (hRepArith : HasStieltjesRep mArith muArith) (hRepCongr : forall {m1 m2 : Complex -> Complex} {mu : Measure Real}, cUpper.EqOn m1 m2 -> HasStieltjesRep m1 mu -> HasStieltjesRep m2 mu) (hUnique : forall {mu1 mu2 : Measure Real}, HasStieltjesRep mArith mu1 -> HasStieltjesRep mArith mu2 -> mu1 = mu2) : muWeyl = muArith := by"
"MeasureIdentity.lean","35","theorem","measure_identity_from_m","theorem measure_identity_from_m {mWeyl mArith : Complex -> Complex} {muWeyl muArith : Measure Real} (hmEq : cUpper.EqOn mWeyl mArith) (hRepWeyl : HasStieltjesRep mWeyl muWeyl) (hRepArith : HasStieltjesRep mArith muArith) (hRepCongr : forall {m1 m2 : Complex -> Complex} {mu : Measure Real}, cUpper.EqOn m1 m2 -> HasStieltjesRep m1 mu -> HasStieltjesRep m2 mu) (hUnique : forall {mu1 mu2 : Measure Real}, HasStieltjesRep mArith mu1 -> HasStieltjesRep mArith mu2 -> mu1 = mu2) : muWeyl = muArith := by"
"MobiusHerglotzB21.lean","13","theorem","mobius_herglotz","theorem mobius_herglotz {zeta : Complex} {M : Complex -> Complex} {T : Complex -> Complex} {m : Nat -> Complex -> Complex} (hIm : UpperHalfPlanePoint zeta) (hJContractive : JContractiveAt zeta M) (hMobiusBridge : UpperHalfPlanePoint zeta -> JContractiveAt zeta M -> MapsUpperHalfPlaneToItself T) (hIterBridge : MapsUpperHalfPlaneToItself T -> TruncationWeylHerglotzFamily m) : MapsUpperHalfPlaneToItself T /\ TruncationWeylHerglotzFamily m := by"
"NoPoleNevanlinna.lean","12","theorem","no_pole_nevanlinna","theorem no_pole_nevanlinna {f H : Complex -> Complex} (hNevanlinnaBridge : StripPoleExclusionViaNevanlinna f H) : StripPoleExclusionViaNevanlinna f H := by"
"NoZerosFromHerglotz.lean","9","theorem","no_zeros_from_herglotz","theorem no_zeros_from_herglotz {f H : Complex -> Complex} (hHerglotz : HerglotzOnUpperHalfPlane H) (hNevanlinnaExclusion : StripPoleExclusionViaNevanlinna f H) : ZeroFreeOnUpper f := by"
"PGLCross.lean","13","theorem","PGL_cross","theorem PGL_cross {z : Complex} (hForward : R2PGLMapEqualityAt z -> R2PGLCrossCancelIdentityAt z) (hBackward : R2PGLCrossCancelIdentityAt z -> R2PGLMapEqualityAt z) : R2PGLMapEqualityAt z <-> R2PGLCrossCancelIdentityAt z := by"
"PickHerglotz.lean","20","theorem","pick_herglotz","theorem pick_herglotz {H : Complex -> Complex} (hHol : HolomorphicOnUpperHalfPlane H) (hForward : HerglotzOnUpperHalfPlane H -> KernelPSDOnUpper (pickKernelH H)) (hBackward : KernelPSDOnUpper (pickKernelH H) -> HerglotzOnUpperHalfPlane H) : HerglotzOnUpperHalfPlane H <-> KernelPSDOnUpper (pickKernelH H) := by"
"PickKernelCompressionB21.lean","11","theorem","pick_kernel_compression","theorem pick_kernel_compression (hCompression : forall (n : Nat), RankOneCompressionFormulaAtLevel n) (hPsdTransfer : (forall (n : Nat), MatrixPickKernelPSDAtLevel n) -> (forall (n : Nat), RankOneCompressionFormulaAtLevel n) -> forall (n : Nat), ScalarPickKernelPSDAtLevel n) (hMatrixPsd : forall (n : Nat), MatrixPickKernelPSDAtLevel n) : (forall (n : Nat), RankOneCompressionFormulaAtLevel n) /\ (forall (n : Nat), ScalarPickKernelPSDAtLevel n) := by"
"PickKernelTwoSides.lean","11","theorem","pick_kernel_two_sides","theorem pick_kernel_two_sides {z : Complex} (hArithStieltjes : ArithStieltjesModelAt z) (hKernelMatch : CalibKernelMatchAt z) (hBridge : ArithStieltjesModelAt z -> CalibKernelMatchAt z -> PickKernelTwoSidesAt z) : PickKernelTwoSidesAt z := by"
